timestamp,value1,value2,hand,gesture
1728496188.9035463,466,91,0,Closed
1728496188.9055245,472,86,0,Closed
1728496188.9075272,473,81,0,Closed
1728496188.9097824,476,76,0,Closed
1728496188.911273,480,72,0,Closed
1728496188.913427,534,67,0,Closed
1728496188.9155684,600,62,0,Closed
1728496188.9167593,707,57,0,Closed
1728496188.9186482,632,52,0,Closed
1728496188.9198892,591,47,0,Closed
1728496188.9217956,479,42,0,Closed
1728496188.923608,480,37,0,Closed
1728496188.9256208,475,32,0,Closed
1728496188.9278088,465,27,0,Closed
1728496188.9296665,478,22,0,Closed
1728496188.931653,479,17,0,Closed
1728496188.9333582,480,12,0,Closed
1728496188.9352772,539,7,0,Closed
1728496188.9369712,623,2,0,Closed
1728496188.938738,639,3,0,Closed
1728496188.9405909,734,8,0,Closed
1728496188.9420695,646,13,0,Closed
1728496188.9436784,558,18,0,Closed
1728496188.9453363,479,23,0,Closed
1728496188.9471805,479,28,0,Closed
1728496188.9486363,479,33,0,Closed
1728496188.9501934,475,38,0,Closed
1728496188.951854,478,43,0,Closed
1728496188.953795,480,48,0,Closed
1728496188.9554698,480,53,0,Closed
1728496188.957019,549,58,0,Closed
1728496188.9586046,587,63,0,Closed
1728496188.9605672,690,68,0,Closed
1728496188.9621656,815,73,0,Closed
1728496188.963714,644,78,0,Closed
1728496188.9652555,614,83,0,Closed
1728496188.967176,479,88,0,Closed
1728496188.969402,478,93,0,Closed
1728496188.9711282,479,98,0,Closed
1728496188.9726918,462,103,0,Closed
1728496188.9745228,471,108,0,Closed
1728496188.9760327,475,113,0,Closed
1728496188.9776044,480,118,0,Closed
1728496188.9792168,512,123,0,Closed
1728496188.9809558,540,128,0,Closed
1728496188.9824004,644,133,0,Closed
1728496188.9839222,663,138,0,Closed
1728496188.985794,577,143,0,Closed
1728496188.9876804,480,148,0,Closed
1728496188.9892058,479,153,0,Closed
1728496188.9916155,474,158,0,Closed
1728496188.9936783,477,163,0,Closed
1728496188.9955225,446,168,0,Closed
1728496188.9975362,479,173,0,Closed
1728496188.999361,480,177,0,Closed
1728496189.00241,480,182,0,Closed
1728496189.0036216,525,187,0,Closed
1728496189.0057454,585,192,0,Closed
1728496189.007289,664,197,0,Closed
1728496189.0093558,598,202,0,Closed
1728496189.0110328,579,207,0,Closed
1728496189.0128615,479,212,0,Closed
1728496189.0145051,471,217,0,Closed
1728496189.0160956,474,222,0,Closed
1728496189.0181067,475,226,0,Closed
1728496189.0197434,464,231,0,Closed
1728496189.021419,480,236,0,Closed
1728496189.0230255,480,241,0,Closed
1728496189.0246878,482,246,0,Closed
1728496189.0264494,546,251,0,Closed
1728496189.0280128,701,256,0,Closed
1728496189.0296075,717,260,0,Closed
1728496189.0312011,620,265,0,Closed
1728496189.0327797,578,270,0,Closed
1728496189.0344658,479,275,0,Closed
1728496189.0361905,478,280,0,Closed
1728496189.0380914,477,284,0,Closed
1728496189.039592,465,289,0,Closed
1728496189.0411978,480,294,0,Closed
1728496189.0427284,480,299,0,Closed
1728496189.04451,537,304,0,Closed
1728496189.0459957,572,308,0,Closed
1728496189.0475218,632,313,0,Closed
1728496189.0490868,732,318,0,Closed
1728496189.0505524,675,323,0,Closed
1728496189.052291,621,327,0,Closed
1728496189.0541818,479,332,0,Closed
1728496189.0567,479,337,0,Closed
1728496189.0584598,477,341,0,Closed
1728496189.0601451,478,346,0,Closed
1728496189.061737,479,351,0,Closed
1728496189.0636146,479,355,0,Closed
1728496189.0650434,480,360,0,Closed
1728496189.066619,540,365,0,Closed
1728496189.0687845,607,369,0,Closed
1728496189.0707653,758,374,0,Closed
1728496189.0724318,747,379,0,Closed
1728496189.074004,656,383,0,Closed
1728496189.0756214,545,388,0,Closed
1728496189.0771055,479,393,0,Closed
1728496189.0790012,479,397,0,Closed
1728496189.0806773,478,402,0,Closed
1728496189.082253,460,406,0,Closed
1728496189.084846,468,411,0,Closed
1728496189.086141,479,415,0,Closed
1728496189.0878582,480,420,0,Closed
1728496189.0894425,523,425,0,Closed
1728496189.091095,586,429,0,Closed
1728496189.0927088,652,434,0,Closed
1728496189.0943687,649,438,0,Closed
1728496189.095965,522,443,0,Closed
1728496189.0976062,479,447,0,Closed
1728496189.0994973,476,451,0,Closed
1728496189.100942,478,456,0,Closed
1728496189.1027482,462,460,0,Closed
1728496189.1046207,465,465,0,Closed
1728496189.106212,477,469,0,Closed
1728496189.108027,480,474,0,Closed
1728496189.109626,480,478,0,Closed
1728496189.1112044,533,482,0,Closed
1728496189.1127603,694,487,0,Closed
1728496189.114315,610,491,0,Closed
1728496189.118642,654,496,0,Closed
1728496189.1201842,486,500,0,Closed
1728496189.1223414,477,504,0,Closed
1728496189.1242,474,509,0,Closed
1728496189.125851,474,513,0,Closed
1728496189.12773,455,517,0,Closed
1728496189.1292834,465,521,0,Closed
1728496189.130803,479,526,0,Closed
1728496189.1328535,480,530,0,Closed
1728496189.1342702,547,534,0,Closed
1728496189.1364765,596,538,0,Closed
1728496189.1382794,745,543,0,Closed
1728496189.1400409,651,547,0,Closed
1728496189.1417415,574,551,0,Closed
1728496189.143239,479,555,0,Closed
1728496189.1449332,479,559,0,Closed
1728496189.146634,479,563,0,Closed
1728496189.1482594,475,567,0,Closed
1728496189.1498392,468,572,0,Closed
1728496189.1518557,480,576,0,Closed
1728496189.1536384,480,580,0,Closed
1728496189.1552072,538,584,0,Closed
1728496189.156659,597,588,0,Closed
1728496189.158327,703,592,0,Closed
1728496189.1601484,752,596,0,Closed
1728496189.1616032,671,600,0,Closed
1728496189.1631815,508,604,0,Closed
1728496189.1647766,479,608,0,Closed
1728496189.166678,479,612,0,Closed
1728496189.1688733,479,616,0,Closed
1728496189.1703832,473,620,0,Closed
1728496189.1719198,479,624,0,Closed
1728496189.1739728,480,628,0,Closed
1728496189.1755614,498,631,0,Closed
1728496189.177166,571,635,0,Closed
1728496189.178716,619,639,0,Closed
1728496189.1803124,684,643,0,Closed
1728496189.1819377,650,647,0,Closed
